sgan,reportdate
S00107-11SW06D-S00086-11SW06D,20040119
S00107-11SW06D-S00086-11SW06D,20040212
S00080-11SW06D-S00096-11SW06D,20021001
S00080-11SW06D-S00096-11SW06D,19970909
S00086-11SW06D-S00094-11SW06D,20030328
S00199-11SW06D-S00181-11SW06D,20100810
S01404-11SW07A-S00022-11SW07C,20030804
S01404-11SW07A-S00022-11SW07C,20030731
S00088-11SW07C-S00108-11SW07C,19980408
S00100-11SW07A-S00104-11SW07A,20030930
S00123-11SW07A-S00091-11SW07A,20070104
S00123-11SW07A-S00091-11SW07A,20061004
S00123-11SW07A-S00091-11SW07A,20070401
S00123-11SW07A-S00091-11SW07A,20070706
S00123-11SW07A-S00091-11SW07A,20070913
S00123-11SW07A-S00091-11SW07A,20070914
S00123-11SW07A-S00091-11SW07A,20071025
S00123-11SW07A-S00091-11SW07A,20071214
S00123-11SW07A-S00091-11SW07A,20071220
S00123-11SW07A-S00091-11SW07A,20091203
S00123-11SW07A-S00091-11SW07A,20100107
S00123-11SW07A-S00091-11SW07A,20100324
S00123-11SW07A-S00091-11SW07A,20100507
S00123-11SW07A-S00091-11SW07A,20100610
S00123-11SW07A-S00091-11SW07A,20100625
S00123-11SW07A-S00091-11SW07A,20131216
S00081-11SW07A-S01751-11SW07A,19970805
S00081-11SW07A-S01751-11SW07A,20050308
S00081-11SW07A-S01751-11SW07A,20070703
S01773-11SW07A-S01761-11SW07A,20050606
S01773-11SW07A-S01761-11SW07A,20040623
S01406-11SW07A-S01405-11SW07A,20030307
S00222-11SW07A-S00215-11SW07A,20020409
S00222-11SW07A-S00215-11SW07A,20010109
S00226-11SW07A-S00222-11SW07A,20131205
S00033-11NW07C-S00032-11NW07C,20030206
S00081-11NW12B-S00071-11NW12B,20120423
S00041-11NW12B-S00062-11NW12D,20080617
S00021-11NW07C-S00135-11NW07D,20030502
S00021-11NW07C-S00135-11NW07D,20140703
S00128-11NW07D-S00058-11NW07B,20030607
S00219-11NW07D-S00217-11NW07D,20070614
S01200-11SW07C-S01203-11SW07C,20100923
S01196-11SW07C-S01201-11SW07C,20121106
S00821-11SW07B-S00271-11SW07A,20120406
S00821-11SW07B-S00271-11SW07A,20140717
S01198-11SW07C-S01189-11SW07C,20110225
S01482-11SW07A-S01189-11SW07C,20130930
S00136-11SW07A-S00135-11SW07A,20140730
S00138-11SW07A-S00136-11SW07A,20020318
S00745-11SW07B-S00743-11SW07B,20000223
S00160-11SW07B-S00163-11SW07B,20090116
S00161-11SW07B-S00160-11SW07B,20131218
S00133-11NW07B-S00120-11NW07B,20070707
S00013-11NW07B-S00168-11NW07B,20040514
S00013-11NW07B-S00168-11NW07B,20040515
S00596-11SW07B-S00597-11SW07B,20110706
S00737-11SW07B-S00605-11SW07B,20040607
S00748-11SW07B-S00752-11SW07B,20130811
S00748-11SW07B-S00752-11SW07B,20100821
S00577-11SW07B-S00581-11SW07B,20071122
S00632-11SW07B-S00621-11SW07B,20081020
S00633-11SW07B-S00632-11SW07B,20000328
S00633-11SW07B-S00632-11SW07B,19990426
S00633-11SW07B-S00632-11SW07B,19991215
S00633-11SW07B-S00632-11SW07B,20071109
S00752-11SW07B-S00754-11SW07B,19990313
S00752-11SW07B-S00754-11SW07B,19970402
S00752-11SW07B-S00754-11SW07B,19990314
S00752-11SW07B-S00754-11SW07B,20001209
S00752-11SW07B-S00754-11SW07B,19970919
S00752-11SW07B-S00754-11SW07B,20101122
S03416-11SW07B-S03415-11SW07B,20110104
S00621-11SW07B-S00623-11SW07B,20030916
S03690-11SW07B-S03689-11SW07B,20111017
S03690-11SW07B-S03689-11SW07B,20121010
S03691-11SW07B-S03693-11SW07B,20120106
S03696-11SW07B-S03695-11SW07B,20100905
S00094-11SW07B-S00046-11SW07B,20090925
S00103-11SW07B-S00100-11SW07B,20070306
S00584-11SW07B-S00586-11SW07B,20000523
S03331-11SW07B-S03339-11SW07B,20100603
S03056-11SW07B-S03055-11SW07B,20090213
S03058-11SW07B-S03045-11SW07B,20131225
S00722-11SW07B-S00723-11SW07B,20130821
S00725-11SW07B-S00729-11SW07B,19980313
S00725-11SW07B-S00729-11SW07B,19990225
S00720-11SW07B-S00722-11SW07B,20120327
S00764-11SW07B-S00762-11SW07B,20071109
S00764-11SW07B-S00762-11SW07B,20080727
S00764-11SW07B-S00762-11SW07B,20120829
S03202-11SW07B-S03400-11SW07B,20010730
S03706-11SW07B-S03207-11SW07B,20010411
S03706-11SW07B-S03207-11SW07B,19991116
S03706-11SW07B-S03207-11SW07B,20060305
S03706-11SW07B-S03207-11SW07B,20070720
S03706-11SW07B-S03207-11SW07B,20081016
S03706-11SW07B-S03207-11SW07B,20120110
S03737-11SW07B-S03706-11SW07B,20010406
S03737-11SW07B-S03706-11SW07B,20060808
S03737-11SW07B-S03706-11SW07B,20010824
S03737-11SW07B-S03706-11SW07B,20010906
S03737-11SW07B-S03706-11SW07B,20001020
S03737-11SW07B-S03706-11SW07B,20001125
S03737-11SW07B-S03706-11SW07B,20001021
S00702-11SW07B-S00685-11SW07B,20140408
S00671-11SW07B-S00673-11SW07B,20060824
S03273-11SW07B-S00468-11SW07B,20120110
S00837-11SW07B-S00833-11SW07B,19990710
S03052-11SW07B-S03049-11SW07B,20130306
S03048-11SW07B-S03051-11SW07B,20060923
S03625-11SW07B-S03624-11SW07B,20051231
S00050-11SW07B-S00045-11SW07B,20031021
S00673-11SW07B-S00661-11SW07B,19990328
S00673-11SW07B-S00661-11SW07B,20000214
S00588-11SW07B-S03515-11SW07B,20001215
S00588-11SW07B-S03515-11SW07B,20100825
S03515-11SW07B-S03298-11SW07B,20100702
S03515-11SW07B-S03298-11SW07B,20130725
S00053-11SW22B-S00055-11SW22B,20110727
S03435-11SW07B-S03434-11SW07B,20101122
S00470-11SW07B-S00467-11SW07B,20100224
S00256-11SW07B-S00249-11SW07B,20010613
S00256-11SW07B-S00249-11SW07B,20090817
S00187-11SW07B-S00190-11SW07B,20080104
S00193-11SW07B-S03579-11SW07B,20060309
S00193-11SW07B-S03579-11SW07B,20080804
S03297-11SW07B-S03300-11SW07B,20010421
S03298-11SW07B-S03296-11SW07B,20040424
S03444-11SW07B-S03443-11SW07B,20141208
S00484-11SW07B-S00492-11SW07B,20070205
S00030-11SW22D-S00553-11SW22D,20111204
S00553-11SW22D-S00027-11SW22D,19980528
S00553-11SW22D-S00027-11SW22D,19990107
S00553-11SW22D-S00027-11SW22D,20060523
S00553-11SW22D-S00027-11SW22D,20060413
S00553-11SW22D-S00027-11SW22D,20000526
S00553-11SW22D-S00027-11SW22D,20020927
S00553-11SW22D-S00027-11SW22D,20021028
S00553-11SW22D-S00027-11SW22D,20001022
S00553-11SW22D-S00027-11SW22D,19991019
S00553-11SW22D-S00027-11SW22D,20071026
S00615-11SW17C-S00614-11SW17C,20090817
S03453-11SW07B-S03452-11SW07B,20140117
S00495-11SW07B-S00480-11SW07B,20000202
S00495-11SW07B-S00480-11SW07B,20060521
S03657-11SW07B-S03654-11SW07B,20130225
S03651-11SW07B-S03653-11SW07B,20060209
S00708-11SW22A-S00548-11SW22A,20131015
S00911-11SW17C-S00915-11SW17C,20140123
