GID,SYM_NAME,SYM_SCALE,SYM_ANGLE,COMMENTS,TAG_VALUE,INCIDENT,JOB_NO,EVENT_DATE,DURATION,ASSET_CODE,CATEGORY,EVENT_TYPE,WS_GID,WS_Tolerance,FailYear,FinancialFailYear
23483260, ,0,0, , ,4,35325,2015-08-04,, ,WATER,Unplanned,11093638,1m,2015,2015
23483261, ,0,0, , ,4,35326,2015-08-04,, ,WATER,Unplanned,2845813,1m,2015,2015
23483262, ,0,0, , ,4,35327,2015-08-05,, ,WATER,Unplanned,20452391,1m,2015,2015
23483263, ,0,0, , ,4,35328,2015-08-07,, ,WATER,Unplanned,22677323,1m,2015,2015
23558880, ,0,0, , ,3,35511,2015-08-21,, ,WATER,Unplanned,10013497,1m,2015,2015
23649445, ,0,0, , ,4,35723,2015-09-03,, ,WATER,Unplanned,13505600,1m,2015,2015
24150264, ,0,0, , ,4,36985,2015-12-29,35, ,WATER,Unplanned,13500594,1m,2015,2015
21535255, ,0,0, , ,4,30132,2013-07-02,, ,WATER,Unplanned,11540456,1m,2013,2013
21569513, ,0,0, , ,4,30184,2013-07-28,70, ,WATER,Unplanned,10101758,1m,2013,2013
21662251, ,0,0, , ,4,30283,2013-08-16,, ,WATER,Unplanned,10074311,1m,2013,2013
21662252, ,0,0, , ,4,30284,2013-08-20,, ,WATER,Unplanned,13649865,1m,2013,2013
21966256, ,0,0, , ,3,30742,2013-10-26,45, ,WATER,Unplanned,338411,1m,2013,2013
21967700, ,0,0, , ,4,30780,2013-10-16,, ,WATER,Unplanned,10102312,1m,2013,2013
22581726, ,0,0, , ,4,32562,2014-08-25,, ,WATER,Unplanned,10075561,1m,2014,2014
22725293, ,0,0, , ,4,32924,2014-10-28,, ,WATER,Unplanned,10076125,1m,2014,2014
22824002, ,0,0, , ,3,33262,2014-12-18,, ,WATER,Unplanned,11573461,1m,2014,2014
23509624, ,0,0, , ,4,35344,2015-08-10,, ,WATER,Unplanned,10090221,1m,2015,2015
23797652, ,0,0, , ,4,36143,2015-10-01,, ,WATER,Unplanned,10075289,1m,2015,2015
23797653, ,0,0, , ,4,36144,2015-10-07,, ,WATER,Unplanned,10079823,1m,2015,2015
23797654, ,0,0, , ,4,36145,2015-10-08,, ,WATER,Unplanned,11126422,1m,2015,2015
23797655, ,0,0, , ,4,36146,2015-10-08,, ,WATER,Unplanned,335431,1m,2015,2015
23797656, ,0,0, , ,4,36147,2015-10-08,, ,WATER,Unplanned,23748331,1m,2015,2015
23798598, ,0,0, , ,4,36251,2015-10-19,, ,WATER,Unplanned,337571,1m,2015,2015
23895586, ,0,0, , ,4,36266,2015-10-17,, ,WATER,Unplanned,11093677,1m,2015,2015
23896638, ,0,0, , ,4,36365,2015-10-25,, ,WATER,Unplanned,20474908,1m,2015,2015
23949661, ,0,0, , ,4,36481,2015-11-10,60, ,WATER,Unplanned,338403,1m,2015,2015
23998836, ,0,0, , ,4,36580,2015-10-22,605, ,WATER,Unplanned,23945755,1m,2015,2015
21662250, ,0,0, , ,4,30282,2013-08-15,, ,WATER,Unplanned,2805140,1m,2013,2013
21966660, ,0,0, , ,3,30760,2013-11-07,275, ,WATER,Unplanned,359079,1m,2013,2013
22580874, ,0,0, , ,4,32411,2014-07-28,, ,WATER,Unplanned,11543407,1m,2014,2014
22824222, ,0,0, , ,4,33302,2014-12-19,44, ,WATER,Unplanned,10096812,1m,2014,2014
23481836, ,0,0, , ,3,35129,2015-07-17,, ,WATER,Unplanned,351631,1m,2015,2015
23895582, ,0,0, , ,4,36262,2015-10-19,45, ,WATER,Unplanned,20474655,1m,2015,2015
24150143, ,0,0, , ,4,36969,2015-12-22,, ,WATER,Unplanned,356367,1m,2015,2015
21534998, ,0,0, , ,4,30123,2013-07-01,35, ,WATER,Unplanned,10096571,1m,2013,2013
